schema_name,table_name,column_name,data_type,data_type_ext,nullable,default_value,primary_key,foreign_key,unique_key,check_contraint,computed_column_definition,comments
dbo,Activities,UserId,int,int,Y,,,FK,,,NULL,NULL
dbo,ActivityTypes,ActivityTypeId,int,int,N,,PK,,,,NULL,NULL
dbo,ActivityTypes,Category,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,ActivityTypes,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ActivityTypes,ChangeUserId,int,int,Y,,,FK,,,NULL,NULL
dbo,ActivityTypes,Contacts,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ActivityTypes,CreateUserId,int,int,N,,,FK,,,NULL,NULL
dbo,ActivityTypes,CustomMessage,text,text,Y,,,,,,NULL,NULL
dbo,ActivityTypes,Description,nvarchar,nvarchar(255),N,,,,,,NULL,NULL
dbo,ActivityTypes,Documents,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,IntakeEntries,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Interactions,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,IsAutomatic,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,IsSystem,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Message,text,text,Y,,,,,,NULL,NULL
dbo,ActivityTypes,Notifiable,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Organizations,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Payments,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Requests,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,Requirements,bit,bit,N,,,,,,NULL,NULL
dbo,ActivityTypes,SourceId,int,int,Y,,,,,,NULL,NULL
dbo,ActivityTypes,SourceTypeId,int,int,N,,,,,,NULL,NULL
dbo,ActivityTypes,SysCode,varchar,varchar(50),Y,,,,,,NULL,NULL
dbo,ActivityTypes,Tasks,bit,bit,N,,,,,,NULL,NULL
dbo,Addresses,Address1,nvarchar,nvarchar(100),Y,,,,,,NULL,NULL
dbo,Addresses,Address2,nvarchar,nvarchar(100),Y,,,,,,NULL,NULL
dbo,Addresses,AddressCombined,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Addresses,AddressId,int,int,N,,PK,,,,NULL,NULL
dbo,Addresses,AltPhone,varchar,varchar(30),Y,,,,,,NULL,NULL
dbo,Addresses,AltPhoneDesc,varchar,varchar(50),Y,,,,,,NULL,NULL
dbo,Addresses,AltPhoneExt,varchar,varchar(30),Y,,,,,,NULL,NULL
dbo,Addresses,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Addresses,City,nvarchar,nvarchar(50),Y,,,,,,NULL,NULL
dbo,Addresses,Country,nvarchar,nvarchar(50),Y,,,,,,NULL,NULL
dbo,Addresses,CountryId,int,int,Y,,,,,,NULL,NULL
dbo,Addresses,County,nvarchar,nvarchar(100),Y,,,,,,NULL,NULL
dbo,Addresses,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,Addresses,Description,nvarchar,nvarchar(50),Y,,,,,,NULL,NULL
dbo,Addresses,Extension,nvarchar,nvarchar(30),Y,,,,,,NULL,NULL
dbo,Addresses,Fax,nvarchar,nvarchar(30),Y,,,,,,NULL,NULL
dbo,Addresses,FipsCounty,nvarchar,nvarchar(20),Y,,,,,,NULL,NULL
dbo,Addresses,FipsState,nvarchar,nvarchar(20),Y,,,,,,NULL,NULL
dbo,Addresses,FullAddress,nvarchar,nvarchar(346),N,,,,,,NULL,NULL
dbo,Addresses,GeocodeAccuracy,varchar,varchar(10),Y,,,,,,NULL,NULL
dbo,Addresses,GeocodeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Addresses,GeocodeFailureDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Addresses,GeocodeFailureMessage,text,text,Y,,,,,,NULL,NULL
dbo,Addresses,Lat,float,float,Y,,,,,,NULL,NULL
dbo,Addresses,Lon,float,float,Y,,,,,,NULL,NULL
dbo,Addresses,Phone,nvarchar,nvarchar(30),Y,,,,,,NULL,NULL
dbo,Addresses,PostalCode,nvarchar,nvarchar(50),Y,,,,,,NULL,NULL
dbo,Addresses,RegionId,int,int,Y,,,,,,NULL,NULL
dbo,Addresses,SourceId,int,int,Y,,,,,,NULL,NULL
dbo,Addresses,SourceTypeId,int,int,N,,,,,,NULL,NULL
dbo,Addresses,State,nvarchar,nvarchar(20),Y,,,,,,NULL,NULL
dbo,Addresses,StateId,int,int,Y,,,,,,NULL,NULL
dbo,Addresses,Zip,nvarchar,nvarchar(20),Y,,,,,,NULL,NULL
dbo,AddressGeoFailures,AddressGeoFailureId,int,int,N,,PK,,,,NULL,NULL
dbo,AddressGeoFailures,AddressId,int,int,N,,,,,,NULL,NULL
dbo,AddressGeoFailures,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,AddressGeoFailures,ErrorCode,varchar,varchar(50),Y,,,,,,NULL,NULL
dbo,AddressGeoFailures,ErrorMsg,text,text,Y,,,,,,NULL,NULL
dbo,AddressGeoFailures,Source,varchar,varchar(50),Y,,,,,,NULL,NULL
dbo,Alerts,AlertId,int,int,N,,PK,,,,NULL,NULL
dbo,Alerts,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Alerts,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,Alerts,Notes,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Alerts,OrganizationId,int,int,Y,,,FK,,,NULL,NULL
dbo,Alerts,RequestId,int,int,Y,,,FK,,,NULL,NULL
dbo,Alerts,Type,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,Alerts,UserId,int,int,Y,,,FK,,,NULL,NULL
dbo,Alerts,WatchlistSearchId,int,int,Y,,,FK,,,NULL,NULL
dbo,AmountGroups,AmountGroupId,int,int,N,,PK,,,,NULL,NULL
dbo,AmountGroups,AmountOrder,int,int,N,,,,,,NULL,NULL
dbo,AmountGroups,Description,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,AmountGroups,EndValue,money,money,N,,,,,,NULL,NULL
dbo,AmountGroups,Scale,int,int,N,,,,,,NULL,NULL
dbo,AmountGroups,StartValue,money,money,N,,,,,,NULL,NULL
dbo,ApplicantOrganizations,ApplicantOrganizationId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicantOrganizations,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicantOrganizations,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ApplicantOrganizations,Name,nvarchar,nvarchar(255),N,,,,,,NULL,NULL
dbo,ApplicantOrganizations,TaxId,nvarchar,nvarchar(20),Y,,,,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,AllowCustomItems,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,ApplicationFieldId,int,int,N,,PK,FK,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,BudgetNodeId,int,int,N,,PK,FK,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,Collect,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,MaxCustomItemsAllowed,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,MinCustomItemsRequired,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationBudgetItemSettings,Required,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,AddContactsToOrganization,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,ApplicationContactFieldSettingsId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectAddress,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectDepartment,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectEmail,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectName,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectPhone,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectPronouns,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,CollectTitle,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,DefaultToCurrentUser,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,FieldConfig,xml,xml,Y,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,MappedOrganizationRoleId,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,MappedRoleId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequireAddress,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequireDepartment,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequireEmail,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequireName,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequirePhone,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequirePronouns,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactFieldSettings,RequireTitle,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,ApplicationContactPageSettingsId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectAddress,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectDepartment,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectEmail,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectName,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectPhone,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,CollectTitle,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequireAddress,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequireDepartment,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequireEmail,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequireName,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequirePhone,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationContactPageSettings,RequireTitle,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,ApplicationFieldDropdownOptionId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,ApplicationFieldId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,ChangeUserId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,CreateUserId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFieldDropdownOptions,Value,sql_variant,sql_variant,N,,,,,,NULL,NULL
dbo,ApplicationFieldFiles,ApplicationFieldFileId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationFieldFiles,ApplicationFieldId,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFieldFiles,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFieldFiles,ChangeUserId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFieldFiles,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ApplicationFieldFiles,CreateUserId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldFiles,IntakeFormFileId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldFiles,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFieldMappedAssessmentGroups,ApplicationFieldMappedAssessmentGroupId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationFieldMappedAssessmentGroups,AssessmentGroupId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldMappedAssessmentGroups,MaximumAllowed,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFieldMappedAssessmentGroups,MinimumRequired,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,AnswerType,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,ApplicationContactFieldSettingsId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,ApplicationFieldId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationFields,ApplicationFieldMappedAssessmentGroupId,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,ApplicationFileId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,ApplicationObjectiveFieldId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,ApplicationPageId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFields,BudgetFieldsRequired,varchar,varchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationFields,BudgetFieldsToCollect,varchar,varchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationFields,BudgetMaxYearsAllowed,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,BudgetMinYearsRequired,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFields,ColumnWidth,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,ConditionallyDisplayBasedOnEntityId,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,ConditionallyDisplayBasedOnEntityValues,nvarchar,nvarchar(4000),Y,,,,,,NULL,NULL
dbo,ApplicationFields,ConditionallyDisplayFieldOption,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,CorrectAnswer,bit,bit,Y,,,,,,NULL,NULL
dbo,ApplicationFields,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ApplicationFields,CustomFieldId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,DefaultCountryId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,DefaultDocumentEntity,varchar,varchar(20),Y,,,,,,NULL,NULL
dbo,ApplicationFields,DefaultDocumentTitle,nvarchar,nvarchar(512),Y,,,,,,NULL,NULL
dbo,ApplicationFields,DefaultDocumentType,nvarchar,nvarchar(512),Y,,,,,,NULL,NULL
dbo,ApplicationFields,DefaultValue,sql_variant,sql_variant,Y,,,,,,NULL,NULL
dbo,ApplicationFields,DisplayName,nvarchar,nvarchar(512),Y,,,,,,NULL,NULL
dbo,ApplicationFields,EndDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFields,FieldScheduleDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFields,FieldScheduleOption,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,FieldType,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,HelpText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationFields,Inactive,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFields,IncludeAddress2,bit,bit,Y,,,,,,NULL,NULL
dbo,ApplicationFields,MappedApplicationFieldType,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,MappedAttribTypeId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,MappedFieldOption,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,MapToField,varchar,varchar(256),Y,,,,,,NULL,NULL
dbo,ApplicationFields,MaxAnswersAllowed,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,MinAnswersRequired,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,MultiAnswer,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFields,Name,nvarchar,nvarchar(512),Y,,,,,,NULL,NULL
dbo,ApplicationFields,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFields,OriginalApplicationFieldId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationFields,ReadOnly,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFields,Required,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFields,RequiredBankAccount,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationFields,Scheduled,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFields,StartDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationFieldValues,Active,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationFieldValues,ApplicationFieldId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFieldValues,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFieldValues,Value,nvarchar,nvarchar(100),N,,,,,,NULL,NULL
dbo,ApplicationFiles,ApplicationFieldId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationFiles,ApplicationFileId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationFiles,BlobName,nvarchar,nvarchar(256),N,,,,,,NULL,NULL
dbo,ApplicationFiles,DisplayName,nvarchar,nvarchar(256),Y,,,,,,NULL,NULL
dbo,ApplicationFiles,FileData,varbinary,varbinary(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationFiles,FileUrl,nvarchar,nvarchar(256),N,,,,,,NULL,NULL
dbo,ApplicationFiles,HelpText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationFiles,Name,nvarchar,nvarchar(256),N,,,,,,NULL,NULL
dbo,ApplicationFiles,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationFollowers,ApplicationId,int,int,N,,PK,FK,,,NULL,NULL
dbo,ApplicationFollowers,UserId,int,int,N,,PK,FK,,,NULL,NULL
dbo,ApplicationObjectiveFields,ActivitiesHelpText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,ActivitiesLabel,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,ApplicationObjectiveFieldId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MaxActivities,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MaxObjectives,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MaxOutcomes,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MaxOutputs,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MinActivities,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MinOutcomes,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,MinOutputs,int,int,N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,OutcomesHelpText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,OutcomesLabel,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,OutputsHelpText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationObjectiveFields,OutputsLabel,nvarchar,nvarchar(50),N,,,,,,NULL,NULL
dbo,ApplicationPages,ApplicationContactPageSettingsId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationPages,ApplicationId,int,int,N,,,FK,,,NULL,NULL
dbo,ApplicationPages,ApplicationPageId,int,int,N,,PK,,,,NULL,NULL
dbo,ApplicationPages,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,ApplicationPages,ConditionallyDisplayBasedOnEntityId,int,int,Y,,,,,,NULL,NULL
dbo,ApplicationPages,ConditionallyDisplayBasedOnEntityValues,nvarchar,nvarchar(4000),Y,,,,,,NULL,NULL
dbo,ApplicationPages,ConditionallyDisplayFieldOption,int,int,N,,,,,,NULL,NULL
dbo,ApplicationPages,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,ApplicationPages,EligibleReponsesMessage,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationPages,HeaderImageId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationPages,Inactive,bit,bit,N,,,,,,NULL,NULL
dbo,ApplicationPages,IneligibleReponsesMessage,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationPages,IntroText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,ApplicationPages,NavTitle,nvarchar,nvarchar(256),Y,,,,,,NULL,NULL
dbo,ApplicationPages,OrderNum,int,int,N,,,,,,NULL,NULL
dbo,ApplicationPages,OriginalApplicationPageId,int,int,Y,,,FK,,,NULL,NULL
dbo,ApplicationPages,PageType,int,int,N,,,,,,NULL,NULL
dbo,ApplicationPages,Title,nvarchar,nvarchar(256),N,,,,,,NULL,NULL
dbo,Applications,AllowUnsolicited,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,ApplicationId,int,int,N,,PK,,,,NULL,NULL
dbo,Applications,ChangeDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Applications,ChangeUserId,int,int,Y,,,FK,,,NULL,NULL
dbo,Applications,ConfirmationSubject,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Applications,ConfirmationText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,CreateDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,Applications,CreateUserId,int,int,N,,,FK,,,NULL,NULL
dbo,Applications,Description,nvarchar,nvarchar(255),N,,,,,,NULL,NULL
dbo,Applications,EnableAmendments,bit,bit,Y,,,,,,NULL,NULL
dbo,Applications,EnableIRSSearch,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,EndDate,datetime,datetime,Y,,,,,,NULL,NULL
dbo,Applications,GranteeOrganizations,bit,bit,Y,,,,,,NULL,NULL
dbo,Applications,HasEligibilityQuiz,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,HeaderRequestDisplay,int,int,N,,,,,,NULL,NULL
dbo,Applications,HidePagesInParentApplication,varchar,varchar(512),Y,,,,,,NULL,NULL
dbo,Applications,Inactive,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,IncludeOrgNameInSubject,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,IntakeEntryCommentsEnabled,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,IntakeProcessType,int,int,N,,,,,,NULL,NULL
dbo,Applications,IntroText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,InvitationBcc,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,InvitationCc,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,InvitationSubject,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Applications,InvitationText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,IsHistoricalForm,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,Language,varchar,varchar(10),N,,,,,,NULL,NULL
dbo,Applications,MaxActiveEntriesPerOrg,int,int,Y,,,,,,NULL,NULL
dbo,Applications,MaxActiveEntriesPerRequest,int,int,Y,,,,,,NULL,NULL
dbo,Applications,OrderNum,int,int,Y,,,,,,NULL,NULL
dbo,Applications,OriginalApplicationId,int,int,Y,,,FK,,,NULL,NULL
dbo,Applications,OverdueReminderSubject,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Applications,OverdueReminderText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
dbo,Applications,ParentApplicationId,int,int,Y,,,FK,,,NULL,NULL
dbo,Applications,PortalDescription,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Applications,RequestIdInSubject,bit,bit,N,,,,,,NULL,NULL
dbo,Applications,StartDate,datetime,datetime,N,,,,,,NULL,NULL
dbo,Applications,UpcomingReminderSubject,nvarchar,nvarchar(255),Y,,,,,,NULL,NULL
dbo,Applications,UpcomingReminderText,nvarchar,nvarchar(MAX),Y,,,,,,NULL,NULL
